teleplay_id,name,genre,type,episodes,rating,members
17147,Gakkatsu! 2nd Season,"Comedy, School",medium,25,6.643803517639444,1177
2366,Touma Kishinden Oni,Supernatural,medium,25,6.17779560097409,303
9340,Cheburashka,Comedy,long,1,5.812743661359992,545
31168,Pokemon XY: Odemashi Ko Majin Hoopa,"Action, Fantasy, Kids",short,1,6.353944600675591,1829
9242,Nine: Original Han,"Action, School, Sports",long,1,5.450679533731521,158
9500,Starlight Scramble Renai Kouhosei,"Action, Romance, Sci-Fi",short,2,5.9690265521687005,141
10342,Tetsuwan Atom: Uchuu no Yuusha,"Action, Adventure, Drama, Mecha, Sci-Fi, Shounen",long,1,6.252780848757752,661
3931,Initial D Battle Stage 2,"Action, Cars, Drama, Seinen, Sports",short,1,7.309405865819674,11015
3869,Sakura Momoko Gekijou: Coji-Coji,"Comedy, Fantasy",medium,100,6.435548372918181,186
33870,Kabi Usagi: Game Center,Comedy,ONA,1,4.790722640320822,39
6793,Kuroshitsuji Special,"Comedy, Demons, Parody",Special,1,7.072908000665291,53706
9916,Samurai Giants,Sports,medium,46,6.669067678423044,319
16436,Tenshi no Drop,"Comedy, Ecchi, Shoujo Ai, Shounen",Special,1,6.947988977067566,6308
2002,Heroic Age,"Action, Mecha, Military, Sci-Fi, Space",medium,26,7.407004346200366,62530
8423,Ookiku Furikabutte: Natsu no Scorebook,"Comedy, Sports",short,2,6.162913080457743,2167
1752,Di Gi Charat: Hoshi no Tabi,Comedy,long,1,6.295602665730273,1973
1141,Palme no Ki,"Adventure, Drama, Fantasy, Romance",long,1,7.086306448689342,3462
33878,"Kochira Katsushikaku Kameari Kouenmae Hashutsujo: Ryoutsu no Asakusa Rinyuuaru Daisakusen!! - Aa, Om","Comedy, Police",Special,1,6.834684808582337,101
33811,Teekyuu 8,"Comedy, Shounen, Sports",medium,12,6.9210540478308475,3961
5928,Kigyou Senshi Yamazaki: Long Distance Call,"Drama, Sci-Fi, Seinen",short,1,6.255579253966782,168
8456,Queen&#039;s Blade: Utsukushiki Toushitachi,"Action, Adventure, Ecchi, Fantasy",short,6,6.735444126715933,11540
1376,Ojamajo Doremi Na-i-sho,"Comedy, Fantasy, Magic, Shoujo",short,13,6.74110747667278,3620
26137,Afghanistan Paghman-mura no Monogatari: Boku no Mura ni Circus ga Kita,"Historical, Kids",short,1,6.8077273057649785,130
21119,Sister Princess: Re Pure Character&#039;s,"Drama, Romance",Special,12,6.251131935302374,544
8294,Shinshou Genmukan,Restricted,short,4,6.394531196383544,2261
9778,Toriko Hime: Hakudaku Mamire no Reijou,Restricted,short,2,6.458112950546822,3025
386,H2,"Comedy, Romance, Shounen, Sports",medium,41,7.379406105289946,4450
8664,"Slime Boukenki: Umi da, Yeah!","Action, Adventure, Comedy, Fantasy, Game",Special,1,6.143252561710799,403
31128,Arslan Senki (TV): Dakkan no Yaiba,"Action, Adventure, Drama, Fantasy, Historical, Supernatural",Special,1,7.113534567293673,6686
4176,Wanna-Be&#039;s,"Action, Comedy, Sports",short,1,5.859714737259646,763
585,Mimi wo Sumaseba,"Adventure, Drama, Fantasy, Romance, Slice of Life",long,1,7.7677671046894385,94435
28247,Pankis! 2-jigen,"Comedy, Music",medium,24,5.936086641467465,331
2733,Mobile Police Patlabor: MiniPato,Parody,short,3,6.138453425997467,1831
23005,Mogura no Motoro,Slice of Life,long,1,6.964959804921437,62
12881,Tsuki wa Higashi ni Hi wa Nishi ni: Operation Sanctuary OVA,"Comedy, Drama, Harem, Romance, Sci-Fi",short,4,6.228782063369916,550
31422,Minami Kamakura Koukou Joshi Jitensha-bu,"School, Shounen, Sports",medium,Unknown,6.807597281195589,2216
2585,Soukou Kihei Votoms: Red Shoulder Document - Yabou no Roots,"Drama, Mecha, Military, Sci-Fi",short,1,6.6334923719576855,2049
4926,Marco: Haha wo Tazunete Sanzenri,"Adventure, Drama",long,1,6.610286452849377,1060
3186,Sekai Meisaku Douwa: Hakuchou no Mizuumi,"Drama, Fantasy, Romance",long,1,6.693893104894828,1705
33914,Nineko Gelée: Opening Movie,"Fantasy, Music",Music,1,6.056691519938235,65
33694,Mukidashi no Koushi,"Comedy, Music",ONA,1,4.75414021887257,83
14125,Otogi no Kuni no Birthday,"Kids, Music",Music,1,4.804539306187691,144
3911,Shuukaku no Yoru,Restricted,short,2,5.94698939796391,1558
1490,Ginga Tetsudou Monogatari,"Action, Adventure, Drama, Sci-Fi, Space",medium,26,7.33473699354815,5947
23321,Log Horizon 2nd Season,"Action, Adventure, Fantasy, Game, Magic, Shounen",medium,25,7.279533416281432,215817
13463,Panda no Taputapu,Kids,medium,Unknown,6.243080882472768,131
19569,Junjou Shoujo Et Cetera,Restricted,short,2,6.459966140008291,2640
4191,Popolocrois Monogatari,"Adventure, Fantasy",medium,25,6.7515231126132935,1260
1046,Elf wo Karu Mono-tachi II,"Adventure, Comedy, Fantasy",medium,12,6.609708563940346,8004
30549,Soukyuu no Fafner: Dead Aggressor - Exodus 2nd Season,"Action, Drama, Mecha, Military, Sci-Fi",medium,13,6.993805978244893,6787
30395,Kuripuri*Kuripura,Comedy,long,1,6.635664837921918,104
1252,Fushigi no Umi no Nadia: Original Movie,"Action, Adventure, Drama, Historical, Mystery, Romance, Sci-Fi",long,1,7.243582569196811,3644
20725,"Lies, Lies.",Music,Music,1,4.532583435209161,185
2227,Lady Lady!!,"Drama, Historical",medium,21,6.9583373447225085,2681
2440,Suki da yo!,Restricted,short,2,5.861067233177781,1201
313,Ace wo Nerae! (1979),"Drama, Romance, School, Shoujo, Sports",long,1,6.900345857639635,1564
13855,Queen&#039;s Blade: Rebellion Specials,Ecchi,Special,6,6.468369618057977,4989
20801,Koakuma Kanojo The Animation,"Restricted, School, Supernatural",short,2,6.822158648794201,6680
17219,Sore Ike! Anpanman: Roll to Laura Ukigumojou no Himitsu,"Comedy, Fantasy, Kids",long,1,7.4146672922259,97
5020,Zettai Shougeki: Platonic Heart,"Action, Ecchi, Martial Arts",short,5,6.613600231008863,10887
1916,Mobile Suit Gundam MS IGLOO: Apocalypse 0079,"Mecha, Military, Sci-Fi, Space",short,3,7.0765250044963,7862
20189,Boku no Son Gokuu,"Adventure, Fantasy, Kids",long,1,5.6770082979072845,186
1065,Touch,"Drama, Romance, School, Shounen, Slice of Life, Sports",medium,101,7.832631777853907,12833
19631,Tayu Tayu,"Harem, Restricted, Romance",short,4,6.590725252925173,3579
529,Saishuu Heiki Kanojo,"Drama, Romance, School, Sci-Fi",medium,13,7.124324544911385,58051
9205,Kaichuu!,"Comedy, Seinen, Sports",ONA,4,6.489335190816469,6941
30939,Shiranpuri,"Drama, School",short,1,6.405480432625858,155
33573,BanG Dream!,Music,medium,Unknown,6.037129825634782,1953
6939,Eien no Hou,"Fantasy, Sci-Fi",long,1,6.050377433988226,581
7808,Zukkoke Knight: Don De La Mancha,"Adventure, Comedy, Historical, Romance",medium,23,6.637813673130291,172
16101,"Jinrui wa Suitai Shimashita: Ningen-san no, Yousei-san Memo","Fantasy, Seinen",ONA,1,6.253335156217917,3083
4220,Okon Joururi,"Drama, Fantasy, Historical",long,1,6.539769419518462,177
406,Buzzer Beater,"Shounen, Sports",medium,13,7.075671948564418,8439
32668,Noblesse: Awakening,"Action, School, Supernatural, Vampire",ONA,1,6.599548733358936,28864
1503,Mahou Shoujo Pretty Sammy Specials,"Adventure, Comedy, Fantasy, Magic, Parody, Seinen",Special,7,6.324666701399997,798
14227,Tonari no Kaibutsu-kun,"Comedy, Romance, School, Shoujo, Slice of Life",medium,13,7.12935735885417,349836
24857,Akagaki Genzou: Tokuri no Wakare,Comedy,long,1,6.635316354144259,87
12679,Joshiraku,"Comedy, Slice of Life",medium,13,6.863944913931271,51084
2811,Soratobu Yuureisen,"Adventure, Drama, Mecha, Sci-Fi",long,1,6.7899784877477,2634
18817,Yasai no Yousei: Quiz Gekijou,"Comedy, Kids",long,1,6.643505013315358,87
2348,Shitai wo Arau The Animation,Restricted,short,3,6.014203791784474,1410
1655,Nerima Daikon Brothers,"Comedy, Music",medium,12,6.303378211637177,5374
8547,Dr. Slump Movie 05: Arale-chan Hoyoyo! Yume no Miyako Mechapolis,"Comedy, Sci-Fi, Shounen",long,1,6.299130627877475,537
1050,Bobobo-bo Bo-bobo,"Adventure, Comedy, Sci-Fi, Shounen",medium,76,7.433879625037111,39041
3147,Me gumi no Daigo: Kajiba no Baka Yarou,Drama,long,1,6.193210719878022,490
18943,Shimajirou to Fufu no Daibouken Movie: Sukue! Nana-iro no Hana,"Adventure, Comedy, Fantasy, Kids, Magic",long,1,7.6902193433336254,87
2578,TaoTao Ehonkan Sekai Doubutsu Banashi,"Adventure, Comedy, Fantasy, Kids",medium,52,6.5875771176069975,656
34122,Minna de Bokumetsu Inshu Unten,Drama,Special,1,6.1065121259822295,48
448,Tenjou Tenge: The Ultimate Fight,"Adventure, Drama, Martial Arts, Romance, Shounen, Supernatural",short,2,7.098068153419937,29039
10456,Kyoukaisenjou no Horizon,"Action, Fantasy",medium,13,6.8050732688387665,90977
9561,Shokupan Mimi,Comedy,medium,12,5.798318136830113,803
16586,Michitekuru Toki no Mukou ni,"Adventure, Fantasy, Romance",Special,1,7.370233839702157,126
8718,Itsumademo Tabibito,"Drama, Music",Music,1,5.787119306121445,226
2317,Hen,"Comedy, Ecchi",short,2,5.9761913347423485,2153
8310,Magic Kaito,"Adventure, Comedy, Romance, Shounen",Special,12,7.190883021362696,27274
31927,Phantom of the Kill: Zero kara no Hangyaku,"Action, Adventure, Fantasy",long,1,6.8387217369652555,4893
2762,Igano Kabamaru,"Adventure, Comedy, Romance, Shounen",medium,24,7.174526071571831,5063
5597,Natsu no Arashi!,"Comedy, Romance, Supernatural",medium,13,6.972074207029778,30098
3470,Special A,"Comedy, Romance, School, Shoujo",medium,24,7.467888139309625,173603
2947,Ojamajo Doremi Sharp Movie,"Kids, Magic, Shoujo",long,1,6.741480709318077,2037
28817,Mikagura Gakuen Kumikyoku,"Action, Comedy, School, Shoujo Ai",medium,12,6.598637779232112,47642
18747,Hotaru Kagayaku,"Drama, Kids",short,1,7.010958629224982,70
10346,Ring ni Kakero 1: Sekai Taikai-hen,Sports,medium,6,5.882509356747733,566
706,Comic Party Revolution,"Comedy, Drama",medium,13,6.818400841470979,6690
33079,Meikyoku to Dai Sakkyokka Monogatari,"Historical, Music",short,9,6.476426394932149,44
808,Bakuretsu Hunters OVA,"Action, Adventure, Comedy, Ecchi, Fantasy, Harem, Magic, Romance, Shounen, Super Power",short,3,6.701272457372353,3686
33880,Kochira Katsushikaku Kameari Kouenmae Hashutsujo: Ryou-san no Sushi Kuinee! - Choujyou Maguro Taiket,"Comedy, Police",Special,2,6.732373153608525,105
11729,Space Neko Theater,Comedy,ONA,1,5.11424083187312,584
31397,Mesu Kyoushi 4: Kegasareta Kyoudan,Restricted,short,2,6.292503705230585,2444
9866,Oshin,Drama,long,1,6.049178411232296,221
25681,Kamisama Hajimemashita◎,"Comedy, Demons, Fantasy, Romance, Shoujo, Supernatural",medium,12,7.08818928097636,91796
621,Night Walker: Mayonaka no Tantei,"Action, Comedy, Horror, Mystery, Vampire",medium,12,6.576798763589888,11143
1606,Kekkaishi,"Adventure, Comedy, Fantasy, Shounen",medium,52,7.325656036055113,61884
23735,Kenzen Robo Daimidaler Specials,"Comedy, Ecchi, Mecha, Seinen",Special,6,6.622745783345841,3816
2101,Singles,"Romance, Shoujo",short,1,5.820905281403562,161
8422,Vampire Knight: Gekiai no Portrait,"Comedy, Shoujo, Vampire",Special,1,6.686789872823468,23727
1240,Bishoujo Senshi Sailor Moon SuperS: Sailor 9 Senshi Shuuketsu! Black Dream Hole no Kiseki,"Drama, Magic, Shoujo",long,1,7.4099059988820715,24968
2670,Doraemon Movie 12: Nobita no Dorabian Nights,"Adventure, Comedy, Fantasy, Kids, Shounen",long,1,7.231769184529101,1833
27821,Fate/stay night: Unlimited Blade Works - Prologue,"Action, Fantasy, Magic, Shounen, Supernatural",Special,1,7.321418818930375,106382
22481,Hello Kitty no Kieta Santa-san no Boushi,"Fantasy, Kids",short,1,7.787546204114234,103
1760,Golgo 13,"Action, Adventure, Drama, Military, Seinen",long,1,7.315840120600018,6344
1955,Kimagure Robot,"Comedy, Fantasy, Sci-Fi",medium,10,6.307306557864704,1521
30070,Shiroi Zou (1981),"Action, Historical",long,1,6.9352134344174265,73
6893,Oni Chichi,Restricted,short,2,7.173234181512316,23605
4156,Ichigo Mashimaro Episode 0,Comedy,Special,1,6.974949205210704,9610
33012,Island,"Drama, Sci-Fi",medium,Unknown,6.421739971936219,1659
1188,Momoiro Sisters,"Comedy, Slice of Life",medium,24,6.62247005440143,1366
8465,Ichiban Ushiro no Daimaou Specials,"Comedy, Ecchi, Fantasy, Magic, Shounen",Special,6,7.035407487633704,26025
14069,Shinjuku Shin-chan: Yoiko no Koutsuu Anzen,Kids,ONA,1,5.181946600915615,104
30089,Zombie Clay Animation: Life of the Dead,"Comedy, Horror",short,4,6.130962962998407,125
28587,Modern,,long,1,5.376016758378347,237
5772,Akaneiro ni Somaru Saka: Hardcore,"Comedy, Ecchi, Harem, Romance",Special,1,6.889838910358799,26925
12745,Bari Bari Densetsu (1987),"Action, Drama, Shounen, Sports",long,1,6.597637376932597,610
1853,Cutey Honey F,"Action, Adventure, Comedy, Magic, Romance, Sci-Fi, Shoujo",medium,39,7.091557167366314,3495
31510,Guitar,,long,1,6.697351221647678,47
2185,Words Worth Gaiden,"Action, Adventure, Fantasy, Restricted",short,2,6.386991377700213,2402
29749,Convenience Store Senki Purin-tai,Comedy,ONA,8,5.049504975229641,59
10936,Nekogami Yaoyorozu: Ohanami Ghostbusters,"Comedy, Seinen, Supernatural",short,1,6.3212325830362115,2515
32195,Junjou Shoujo Et Cetera Specials,Restricted,Special,2,4.784583459437214,254
3171,Ryoujoku Hitozuma Onsen,Restricted,short,2,6.271295237155243,2099
34086,Tales of Zestiria the X (2017),"Action, Adventure, Fantasy",medium,12,6.823730730315782,10848
3463,A.LI.CE,Sci-Fi,long,1,6.051851883713162,1034
6489,Zero no Tsukaima: Princesses no Rondo Picture Drama,"Action, Adventure, Comedy, Drama, Ecchi, Fantasy, Harem, Magic, Romance, School",Special,7,7.185337834156169,23532
5682,Phantom: Requiem for the Phantom,"Action, Drama, Seinen, Thriller",medium,26,7.922730552903319,159105
9438,Rainbow Sentai Robin,"Action, Adventure, Sci-Fi",medium,48,6.47906152078976,233
1167,Samurai Gun,"Action, Historical, Seinen",medium,12,6.603500516602685,5381
23581,Romeo no Aoi Sora Specials,"Adventure, Drama, Historical, Slice of Life",Special,2,6.49545762818338,297
4854,Fuuma no Kojirou: Yasha-hen,Action,short,6,6.08762187474999,819
2010,Taiho Shichau zo in America,"Action, Comedy, Police, Shounen",Special,1,7.2899485117515725,2584
617,Juubee Ninpuuchou,"Adventure, Fantasy, Historical, Horror, Romance, Shounen, Supernatural",long,1,7.4415798351299065,55697
29834,Moshidora Recap,"Drama, Sports",Special,1,6.099014432028746,251
5399,Internal Medicine,Restricted,short,2,5.678559239888852,846
5774,Seitokaichou ni Chuukoku,"Comedy, Drama, Romance, School, Yaoi",short,2,6.756744187286227,23730
5914,Kanamemo,"Comedy, Ecchi, Shoujo Ai, Slice of Life",medium,13,6.680034065872336,23757
33242,IS: Infinite Stratos 2 - Infinite Wedding,,Special,1,6.698773064869808,6604
34233,Kimoshiba,Comedy,medium,Unknown,6.361611364293793,81
4775,Lunatic Night,"Comedy, Restricted, Parody",short,3,5.686897287857506,688
12529,Time-Patrol Bon: Fujiko F. Fujio Anime Special - SF Adventure,"Action, Adventure",Special,1,6.525362387223215,83
5607,Love Machine: Animaid Shoufu 23-gou,Restricted,short,2,5.493212430649773,384
18683,Shibai Taroka,"Action, Comedy, Romance, School, Shounen",short,2,6.1751573393251125,161
1866,Seirei Tsukai,"Action, Adventure, Fantasy, Magic, Romance, Shounen, Supernatural",long,1,6.799698803396021,1693
1947,Kikou Sennyo Rouran,"Action, Fantasy, Mecha",medium,28,6.68415408972265,1049
31573,Brave Beats,"Adventure, Music",medium,22,6.730579688390875,2299
18411,Gingitsune,"Seinen, Slice of Life, Supernatural",medium,12,6.86421590794481,33429
19647,Hajime no Ippo: Rising,"Comedy, Drama, Shounen, Sports",medium,25,7.874912398134365,66756
33569,Re:Petit kara Hajimeru Isekai Seikatsu,"Adventure, Comedy, Fantasy",Special,14,6.973628865483641,14310
5447,A-Girl,"Music, Romance, School, Shoujo",short,1,5.960089380239345,585
13755,Feeling from Mountain and Water,Music,long,1,5.519568227376366,437
24197,E no Umakatta Tomodachi,Music,Music,1,5.516284947129119,360
449,InuYasha: Guren no Houraijima,"Adventure, Comedy, Demons, Drama, Historical, Romance, Shounen, Supernatural",long,1,7.642373205238477,50008
7343,Youbi Masochist Animation,Restricted,short,2,4.307318249946963,201
23967,Fox Wood Monogatari,"Adventure, Kids",short,3,7.068842368835384,67
30442,Kana Kana Kazoku x Himitsukessha Taka no Tsume Collaboration Film,Comedy,ONA,1,4.791355071165596,71
12135,Ra/Radio Noise*Planet,"Adventure, Psychological, Sci-Fi",short,1,5.907619141367834,595
11073,Pokemon: Ash&#039;s Journey,"Fantasy, Kids",long,1,6.801407930473852,4578
7174,Usaru-san,Kids,Special,4,6.017516165888527,822
11911,Pretty Rhythm: Aurora Dream - Prism Shougekijou,"Comedy, Shoujo",Special,51,6.820171210817396,1220
6116,Mainichi Kaasan,"Comedy, Slice of Life",medium,142,7.003071343623388,1707
8546,Dr. Slump Movie 02: &quot;Hoyoyo!&quot; Uchuu Daibouken,"Comedy, Sci-Fi, Shounen",long,1,6.299435721742527,596
22835,Himegoto,"Comedy, School",medium,13,6.87242907526614,42129
20469,Himeyuri,"Drama, Historical",long,1,6.639697556218957,395
25303,Haikyuu!! OVA,"Shounen, Sports",short,2,7.283213749412982,30063
30349,Legend of the Moles: The Treasure of Scylla,"Adventure, Fantasy, Kids",long,1,8.00447351422255,44
27891,Sword Art Online II: Debriefing,"Action, Adventure, Fantasy, Game",Special,1,7.038057027728129,39092
6072,Juuippiki no Neko to Ahoudori,"Adventure, Fantasy, Kids",long,1,6.100302721841634,286
31166,Nyamen: Tenkai Daiichi Joshi Koukou Bunka Matsuri Tokubetsu Eizou,Music,Special,1,5.632328068160533,127
30218,The iDOLM@STER Cinderella Girls: Special Program,"Comedy, Music",Special,1,6.235143178190933,1802
103,Akazukin Chacha,"Adventure, Comedy, Fantasy, Magic, Romance, Shoujo",medium,74,7.251540263447121,7581
13863,Arve Rezzle: Kikaijikake no Yousei-tachi,"Action, Drama, Mystery, Sci-Fi, Thriller",long,1,7.430549191912512,18770
8965,Tottoko Hamtarou OVA 3: Hamuchanzu to Niji no Kuni no Oujisama - Sekai de Ichiban no Takaramono,"Adventure, Comedy, Kids",short,1,6.348627151468885,745
34437,Code Geass: Fukkatsu no Lelouch,"Action, Drama, Mecha, Military, Sci-Fi, Super Power",,Unknown,7.115720417002324,22748
5877,Abunai Sisters: Koko &amp; Mika,"Action, Comedy, Ecchi",short,10,6.1312192167452775,1461
9496,Itoshi no Betty Mamonogatari,"Fantasy, Romance, Seinen",long,1,6.756472503305794,134
3518,Ginga no Uo Ursa Minor Blue,"Fantasy, Kids",short,1,6.433851159767224,1568
19401,Kuusou no Sora Tobu Kikaitachi,Historical,long,1,5.99072935556575,651
2451,Space Cobra,"Action, Adventure, Sci-Fi, Space",medium,31,7.128697490531097,6919
869,Slayers Return,"Adventure, Comedy, Fantasy, Magic, Shounen",long,1,7.39833478476465,12909
24869,Aoi Umi to Shounen,Slice of Life,short,1,6.694662925844149,68
4052,Medarot Damashii,"Action, Adventure, Sci-Fi",medium,39,7.235663854542448,9590
33552,Mameshiba Bangai-hen,"Comedy, Music",Special,4,5.6382783387921185,117
2785,OZ,"Action, Drama, Military, Sci-Fi, Shoujo",short,2,6.312002865077667,720
30464,Shinmai Maou no Testament Specials,"Comedy, Demons, Ecchi, Fantasy",Special,6,6.815062405828119,10046
30953,Arslan Senki (TV) Specials,Comedy,Special,8,6.570796276117794,5241
61,D.N.Angel,"Action, Comedy, Fantasy, Magic, Romance, School, Shoujo",medium,26,7.420819621892093,126914
2717,Ginga Tetsudou Monogatari: Eien e no Bunkiten,"Action, Adventure, Drama, Sci-Fi, Space",medium,24,7.103090045608099,2072
14355,Yama no Susume,"Adventure, Comedy, Slice of Life",medium,12,6.871470359657188,27487
33845,Free! (Shinsaku),"School, Sports",,Unknown,6.57771162173642,8666
1353,The Urotsuki,"Adventure, Demons, Fantasy, Restricted, Horror",short,3,5.800777130332432,1480
33618,Ozmafia!! Special,"Historical, School, Shoujo",Special,1,6.1714894147445785,574
10801,Copihan,"Comedy, School, Sci-Fi",ONA,7,6.288924252681393,6167
17469,Kouchuu Ouja Mushiking: Greatest Champion e no Michi,"Adventure, Fantasy",long,1,8.023821826732844,109
27569,Sore Ike! Anpanman: Hashire! Wakuwaku Anpanman Grand Prix,"Comedy, Fantasy, Kids",long,1,7.414165531178058,66
31599,Kaette Kite yoo Toyama kara,Comedy,ONA,Unknown,5.747394159185545,51
25839,Bonjour♪Koiaji Pâtisserie,"Comedy, Harem, Romance, Shoujo, Slice of Life",ONA,24,6.97504518463209,22127
28957,Mushishi Zoku Shou: Suzu no Shizuku,"Adventure, Fantasy, Historical, Mystery, Seinen, Slice of Life, Supernatural",long,1,8.079101800384105,32266
2200,Muteki Choujin Zanbot 3,"Action, Drama, Mecha, Sci-Fi, Shounen",medium,23,6.813423933063835,1570
5826,Oira no Yakyuu,Sports,long,1,5.7057413107601445,866
7193,Aoi Bungaku Series,"Drama, Historical, Psychological, Seinen, Thriller",medium,12,7.455277359883011,93074
4879,Mouryou no Hako,"Mystery, Seinen, Supernatural, Thriller",medium,13,7.303746721167896,36075
25377,TOTO Green Challenge,Slice of Life,ONA,1,5.503184412119748,115
197,Rizelmine,"Comedy, Ecchi, Romance, School, Sci-Fi",medium,24,7.151601488772861,16672
28885,Konna Watashitachi ga Nariyuki de Heroine ni Natta Kekka www (TV): Heroine Kentei,"Comedy, Fantasy",ONA,11,5.945545999088775,91
243,Gravitation,"Comedy, Music, Romance, Shoujo, Shounen Ai",medium,13,7.056608083203317,67916
5575,Karakara-sama no Himitsu,Restricted,short,1,5.064602181466308,316
19991,Tobidase! Bacchiri,"Comedy, Kids, Mystery",medium,132,7.264217598940161,72
368,Bible Black,Restricted,short,6,7.180840140548012,31309
223,Dragon Ball,"Adventure, Comedy, Fantasy, Martial Arts, Shounen, Super Power",medium,153,7.66895440674144,316102
3527,Lesbian Byoutou,Restricted,short,2,5.837677531233339,1149
32518,Shoujo kara Shoujo e...,Restricted,short,Unknown,6.558396943877346,1964
12487,Kyoukaisenjou no Horizon II,"Action, Fantasy, Sci-Fi",medium,13,6.826189800327797,46781
19029,Yuyushiki: Nyanyashiki,Comedy,Special,6,6.698778768728689,6805
2067,Gekiganger 3: The Movie,"Action, Comedy, Mecha, Parody, Sci-Fi, Shounen",short,1,6.557859029556793,2562
29541,Hello Kitty no Santa-san ga Futari Ita,"Fantasy, Music",short,1,7.347922095795575,57
22057,"Inari, Konkon, Koi Iroha.: Inari, Konkon, Semishigure.","Comedy, Romance, Seinen, Supernatural",short,1,7.172184768042963,12930
31763,Accel World: Infinite∞Burst,"Action, Game, Romance, School, Sci-Fi",long,1,7.282071788242422,21916
20187,Genei wo Kakeru Taiyou: Fumikomenai Kokoro,Magic,Special,1,6.6843605588797566,4545
